Name,Country,Genre,Status
Baph Metis,United States,Symphonic Black Metal,Split-up
Baphogoat,Malaysia,Black/Death Metal,Active
Baphomaster,Brazil,Sludge/Doom Metal,Active
Baphomation,Denmark,Black Metal,Unknown
Baphomenum,Brazil,Black Metal,Active
Baphomet,Spain,Progressive Metal,Active
Baphomet,United States,Blackened Death/Thrash Metal,Split-up
Baphomet,Colombia,Black Metal,Split-up
Baphomet,Germany,Death/Thrash Metal,Split-up
Baphomet,United States,Death Metal,Active
Baphomet,Brazil,Death/Thrash Metal,Split-up
Baphomet Throne Hell's,Bolivia,Black/Death Metal,Active
Baphomet's Blood,Italy,Speed/Thrash Metal,Active
Baphomet's Crest,United States,Black/Death Metal,Active
Baphomet's Cunt,United Kingdom,Black Metal,Active
Baphomet's Throne,Poland,Symphonic Death/Black Metal,Active
Baphomet's Throne,France,Black Metal,Active
Baphomet's Wrath,Austria,Melodic Black Metal,Split-up
Baphometh,Brazil,Black Metal,Split-up
Baphometh,Venezuela,Death/Black Metal,Active
Baphometic,Mexico,Black Metal,Active
Baphometic Dawn,United States,Raw Black Metal/Noise,Unknown
Baphometic Fire,United States,Black Metal,Active
Baphometic War Command,International,Black/Death Metal,Active
Baphomets Horns,United States,Black Metal,On hold
Baphomilitia,Turkey,Death/Black Metal,Active
Baphovomit,Finland,Black/Death Metal,Split-up
Bapthomet,Finland,Raw Black Metal,Unknown
Baptised in Ice,Brazil,Viking Metal,Unknown
Baptism,Finland,Black Metal,Active
The Baptism,United States,Experimental Death Metal,Active
Baptism of Hate,Australia,Death Metal,Split-up
Baptiste Brun,France,Progressive Metal,Active
Baptized in Blood,Canada,Melodic Thrash Metal/Metalcore,Unknown
Baptized in Vaginal Liquid,France,Brutal Death Metal,Active
Baptizm,Indonesia,Death Metal,On hold
Bar Sinister,United States,Thrash Metal,Split-up
Bar'Lgura,United States,Symphonic Black Metal,Split-up
Barabas,Austria,Thrash/Doom Metal,Split-up
Barabbas,United States,Black/Death Metal,Active
Barabbas,Germany,Doom Metal,Unknown
Barabbas,France,Doom/Stoner Metal,Active
Barabbas AK,United States,Heavy Metal,Active
Barad Dûr,United States,Black Metal,Unknown
Barad Dûr,Germany,Black Metal,Active
Barad-Dur,United Kingdom,Black/Heavy Metal,Active
Barad-Dur,United States,Black Metal,On hold
Baradj,Russia,Folk/Progressive/Experimental/Post-Metal,Active
Baraka,Australia,Thrash/Death Metal,Changed name
Barakmas,Canada,Speed/Thrash Metal,Split-up
Baramyu,United States,Melodic Black Metal,Active
Baran,United States,Progressive/Power Metal,Active
Baranduin,Finland,Symphonic Folk Metal,Split-up
Baraque's Lord,Brazil,Death Metal,On hold
Barastir,Germany,Black Metal,Split-up
Barataria,Spain,Heavy Metal,Unknown
Baratheon,Australia,Black Metal,Split-up
Baratheon,United States,Melodic Death Metal,Active
Barathron,Russia,Black Metal,Unknown
Barathrum,Finland,Black/Doom Metal,Active
Baratro,Italy,Death Metal,Split-up
Baratrum of Ahriman,Chile,Black Metal,Split-up
Baraxetamol,Finland,Black Metal,Split-up
Barback,France,Death Metal,Split-up
Barback,France,Thrash Metal/Metalcore,Active
Barbalans,Malaysia,Black Metal,Active
Barbara,Israel,Doom Metal,Active
Barbaria,Brazil,Heavy Metal,Active
Barbarian,Italy,Speed/Thrash/Black Metal,Active
Barbarian,Spain,Heavy/Thrash Metal,Active
Barbarian,Colombia,Thrash Metal,Active
Barbarian,Belgium,Heavy Metal,Split-up
Barbarian,United States,Black Metal,Split-up
Barbarian,United States,Power/Thrash Metal,Split-up
Barbarian Fist,Norway,Stoner/Doom Metal/Rock,Active
Barbarian Hermit,United Kingdom,Stoner/Sludge Metal,Active
Barbarian Prophecies,Spain,Black/Death Metal,Active
Barbarian Swords,Spain,Black/Sludge/Doom Metal,Active
Barbarian Warriors in Search of Wisdom,Brazil,Pagan Folk Metal,Active
Barbarians,Italy,Heavy/Power/Viking Metal,Active
Barbarians,Argentina,Thrash Metal/RAC,Active
Barbarians,Norway,Black Metal,Split-up
Barbarianz,Finland,Heavy Metal,Changed name
Barbaric,France,Thrash/Death/Black Metal,Split-up
Barbaric Horde,Portugal,Black Metal,Active
Barbarie,Mexico,Brutal Death Metal,Active
Barbarie,Argentina,Heavy Metal,Active
Barbarie Medieval,Colombia,Death Metal,Active
Barbarikvltt,Chile,Death Metal,Active
Barbariön,Australia,Heavy Metal,Active
Barbarism,United States,Death Metal,Active
Barbarity,Russia,"Brutal Death Metal (early), Death Metal/Grindcore (later)",Active
Barbaro,Philippines,Sludge Metal/Hardcore,Active
Barbaros,Algeria,Black Metal,Active
Barbarossa,Latvia,Brutal Death Metal,Split-up
Barbarossa,Italy,Melodic Death Metal,Active
Barbarous,China,Death/Thrash Metal,Active
Barbarous,"Korea, South",Raw Black Metal,Split-up
Barbarous Pomerania,Poland,Pagan/Black Metal,Active
Barbarroja,Spain,Heavy Metal/Hard Rock,Split-up
Barbarus,United States,Pagan/Doom Metal,Active
Barbaryan,Germany,Black Metal,Active
Barbatos,Argentina,Black/Death Metal,Active
Barbatos,Japan,Black/Thrash Metal/Punk,Active
Barbatos,Brazil,Brutal Death Metal,Active
Barbatos 666,El Salvador,Black Metal,Active
Barbears,Hungary,Stoner Rock/Metal,Active
Barbed Wire,Hungary,Thrash Metal,Split-up
Barbekütioner,Italy,Black/Thrash Metal,Active
Barbelith,United States,Post-Black Metal,Active
Barbie on Deathtrip,Germany,Melodic Death Metal/Metalcore,Active
Barbiturate,United States,Avant-garde Death Metal,Active
Barbora,United Kingdom,Progressive Metal,Active
Bard Brann,United States,Black Metal,Unknown
Bardak,Latvia,Black/Thrash Metal,Active
BardFaust,Italy,Black Metal,Unknown
Bardik Ragnarok,United Kingdom,Progressive Death/Power Metal,Active
Bardkzen,Chile,Folk Metal,Active
Bardo,Hungary,Funeral Doom/Black Metal/Ambient,Unknown
Bards Beyond Time,Switzerland,Gothic/Power Metal,Changed name
Bare Bone Sledge,Japan,Thrash/Groove Metal,Active
Bare Bones,United States,Heavy Metal,Split-up
Bare Bones,Poland,Thrash/Death Metal,Split-up
Bare Infinity,Greece,Melodic Atmospheric Metal,Active
Bare-Sark,United States,Black Metal,Split-up
Barefoot Barnacle,United States,Experimental Death Metal,Active
Barehanded,Slovenia,Death/Thrash Metal,Active
Barek,El Salvador,Thrash/Groove Metal,Active
Barely Legal,France,Groove/Thrash Metal,Active
Bargest,Russia,Heavy/Thrash Metal,Active
Barghest,United States,Black/Death Metal,Active
Bärglar,Japan,Raw Black Metal,Active
Barial,Chile,Death Metal,Split-up
Bariel,Poland,Black/Death Metal,Split-up
Barilari,Argentina,Melodic Heavy/Power Metal,Active
